id,order_date,customer_code,product_code,unit_price,quantity
1,2021-01-01T00:00:00Z,A0003,QU-206,782.74,1
2,2021-01-01T00:00:00Z,A0003,UG-657,865.46,2
3,2021-01-01T00:00:00Z,A0002,SB-472,392.46,1
4,2021-01-01T00:00:00Z,A0002,ZR-155,729.47,2
5,2021-01-01T00:00:00Z,A0003,CV-586,848.23,3
6,2021-01-01T00:00:00Z,A0002,ZB-816,928.28,2
7,2021-01-01T00:00:00Z,A0002,RN-785,706.96,3
8,2021-01-01T00:00:00Z,A0003,FA-300,506.36,4
9,2021-01-01T00:00:00Z,A0001,MY-216,133.53,2
10,2021-01-01T00:00:00Z,A0002,WJ-412,541.96,1
11,2021-01-01T00:00:00Z,A0001,LY-726,465.96,3
12,2021-01-01T00:00:00Z,A0001,QC-110,187.44,2
13,2021-01-01T00:00:00Z,A0002,YU-601,175.42,5
14,2021-01-01T00:00:00Z,A0003,OC-903,600.41,4
15,2021-01-01T00:00:00Z,A0001,VX-113,794.86,1
16,2021-01-01T00:00:00Z,A0002,JH-837,433.32,5
17,2021-01-01T00:00:00Z,A0001,OB-894,688.03,4
18,2021-01-01T00:00:00Z,A0002,NV-573,265.78,5
19,2021-01-01T00:00:00Z,A0003,IL-843,530.73,5
20,2021-01-01T00:00:00Z,A0002,XH-727,995.50,2
21,2021-01-01T00:00:00Z,A0003,KM-296,550.46,4
22,2021-01-01T00:00:00Z,A0001,BT-117,948.78,1
23,2021-01-01T00:00:00Z,A0001,DP-542,791.28,1
24,2021-01-01T00:00:00Z,A0003,AH-585,839.65,1
25,2021-01-01T00:00:00Z,A0001,ZL-323,843.35,5
26,2021-01-01T00:00:00Z,A0002,MN-690,347.42,4
27,2021-01-01T00:00:00Z,A0002,OR-626,431.33,4
28,2021-01-01T00:00:00Z,A0001,XZ-544,652.18,5
29,2021-01-01T00:00:00Z,A0003,EA-748,331.22,3
30,2021-01-01T00:00:00Z,A0003,SN-423,425.14,4
31,2021-01-01T00:00:00Z,A0003,RA-611,929.12,1
32,2021-01-01T00:00:00Z,A0001,SK-453,609.64,2
33,2021-01-01T00:00:00Z,A0001,QP-970,257.47,2
34,2021-01-01T00:00:00Z,A0001,WA-751,369.09,4
35,2021-01-01T00:00:00Z,A0001,SJ-914,634.17,2
36,2021-01-01T00:00:00Z,A0002,EP-138,503.07,3
37,2021-01-01T00:00:00Z,A0003,GQ-816,629.47,5
38,2021-01-01T00:00:00Z,A0002,NR-085,526.98,3
39,2021-01-01T00:00:00Z,A0002,KR-389,507.68,2
40,2021-01-01T00:00:00Z,A0002,IU-087,206.94,3
41,2021-01-01T00:00:00Z,A0003,ES-034,429.06,3
42,2021-01-01T00:00:00Z,A0001,YE-919,396.02,4
43,2021-01-01T00:00:00Z,A0001,EV-794,602.39,2
44,2021-01-01T00:00:00Z,A0001,HO-738,649.37,5
45,2021-01-01T00:00:00Z,A0002,JT-322,842.76,4
46,2021-01-01T00:00:00Z,A0003,LA-558,748.28,1
47,2021-01-01T00:00:00Z,A0001,HL-708,887.48,4
48,2021-01-01T00:00:00Z,A0003,TJ-765,472.89,4
49,2021-01-01T00:00:00Z,A0001,GY-929,593.64,5
50,2021-01-01T00:00:00Z,A0001,HA-295,225.81,2
51,2021-01-01T00:00:00Z,A0002,LF-446,117.88,2
52,2021-01-01T00:00:00Z,A0001,QU-993,458.70,4
53,2021-01-01T00:00:00Z,A0003,GU-615,858.32,2
54,2021-01-01T00:00:00Z,A0003,WJ-119,412.40,5
55,2021-01-01T00:00:00Z,A0001,BQ-918,251.69,1
56,2021-01-01T00:00:00Z,A0002,OU-173,220.24,3
57,2021-01-01T00:00:00Z,A0003,PX-960,803.13,1
58,2021-01-01T00:00:00Z,A0003,LF-022,451.12,1
59,2021-01-01T00:00:00Z,A0001,OQ-633,951.43,5
60,2021-01-01T00:00:00Z,A0002,RN-245,201.16,5
61,2021-01-01T00:00:00Z,A0002,HX-175,879.88,1
62,2021-01-01T00:00:00Z,A0003,QB-782,551.44,3
63,2021-01-01T00:00:00Z,A0001,LZ-814,908.93,5
64,2021-01-01T00:00:00Z,A0002,GY-778,870.20,5
65,2021-01-01T00:00:00Z,A0003,XK-075,976.86,2
66,2021-01-01T00:00:00Z,A0002,EX-593,974.07,4
67,2021-01-01T00:00:00Z,A0002,WV-824,540.31,3
68,2021-01-01T00:00:00Z,A0001,ER-924,928.53,1
69,2021-01-01T00:00:00Z,A0002,LZ-784,408.16,4
70,2021-01-01T00:00:00Z,A0001,AW-661,195.72,2
71,2021-01-01T00:00:00Z,A0003,SW-853,542.83,5
72,2021-01-01T00:00:00Z,A0001,WH-764,751.83,5
73,2021-01-01T00:00:00Z,A0003,NE-523,431.43,5
74,2021-01-01T00:00:00Z,A0003,GR-097,482.84,3
75,2021-01-01T00:00:00Z,A0002,YN-014,101.87,4
76,2021-01-01T00:00:00Z,A0003,JX-505,924.92,5
77,2021-01-01T00:00:00Z,A0001,PI-145,221.10,1
78,2021-01-01T00:00:00Z,A0001,CS-699,159.31,3
79,2021-01-01T00:00:00Z,A0001,OQ-511,265.83,4
80,2021-01-01T00:00:00Z,A0001,EK-245,946.57,2
81,2021-01-01T00:00:00Z,A0002,GU-279,610.33,1
82,2021-01-01T00:00:00Z,A0002,TK-897,815.87,5
83,2021-01-01T00:00:00Z,A0001,HV-590,565.52,4
